year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,拉萨市,5401,61.83,68.9,62.34,41.74,78.87,,,57.75,,37.56,拉萨,year14
2011,揭阳市,4452,50.19,27.22,79.2,82.85,44.06,,,93.45,,73.35,揭阳,year14
2011,攀枝花市,5104,52.63,59.96,25.44,44.78,81.21,,,0.01,,77.83,攀枝花,year14
2011,文山壮族苗族自治州,5326,32.16,8.18,46.27,38.77,63.6,,,39.88,,85.68,文山壮族苗族,year14
2011,新乡市,4107,47.71,45.69,49.18,46.01,6.48,,,67.34,,51.72,新乡,year14
2011,新余市,3605,41.63,49.45,33.31,44.43,33.04,,,32.18,,30.9,新余,year14
2011,无锡市,3202,78.6,95.1,79.06,92.4,94.78,,,71.01,,23.28,无锡,year14
2011,日喀则市,5402,44.6,6.96,82.49,82.88,82.39,,,,,100.0,日喀则,year14
2011,日照市,3711,49.22,53.22,50.42,60.39,26.26,,,59.38,,33.84,日照,year14
2011,昆明市,5301,68.35,83.37,67.44,86.63,83.14,,,58.74,,20.41,昆明,year14
2011,昌吉回族自治州,6523,44.08,41.94,44.4,19.79,47.52,,,45.85,,50.53,昌吉回族,year14
2011,昌都市,5403,22.0,4.07,18.08,0.0,22.93,,,,,88.3,昌都,year14
2011,昭通市,5306,30.7,6.4,55.39,52.22,57.45,,,54.89,,66.05,昭通,year14
2011,晋中市,1407,48.82,53.45,34.2,37.45,38.39,,,32.09,,60.09,晋中,year14
2011,晋城市,1405,56.57,58.36,34.22,25.13,27.62,,,37.99,,91.3,晋城,year14
2011,普洱市,5308,30.29,9.58,44.42,99.75,87.58,,,20.23,,73.02,普洱,year14
2011,景德镇市,3602,59.37,54.13,81.45,67.4,74.45,,,85.94,,36.56,景德镇,year14
2011,曲靖市,5303,31.46,14.76,32.44,47.56,66.67,,,16.47,,84.79,曲靖,year14
2011,朔州市,1406,36.78,41.64,32.62,28.88,36.0,,,31.63,,28.31,朔州,year14
2011,朝阳市,2113,28.53,28.51,34.0,36.3,28.98,,,35.84,,18.65,朝阳,year14
2011,本溪市,2105,54.54,64.84,38.65,55.51,50.66,,,31.75,,49.4,本溪,year14
2011,来宾市,4513,33.95,22.67,34.0,51.77,41.39,,,28.92,,71.08,来宾,year14
2011,杭州市,3301,86.18,99.86,93.61,100.0,94.98,,,92.32,,27.51,杭州,year14
2011,松原市,2207,30.88,28.44,14.48,33.92,43.97,,,0.0,,68.75,松原,year14
2011,林芝地区,5426,58.01,55.41,39.61,0.0,72.18,,,30.46,,100.0,林芝,year14
2011,果洛藏族自治州,6326,22.35,8.03,13.92,0.0,17.65,,,,,84.96,果洛藏族,year14
2011,枣庄市,3704,47.75,44.74,57.65,43.84,18.58,,,75.5,,39.71,枣庄,year14
2011,柳州市,4502,57.88,65.01,59.11,68.97,69.94,,,53.49,,32.07,柳州,year14
2011,株洲市,4302,53.88,51.61,71.74,68.49,57.79,,,77.93,,28.91,株洲,year14
2011,桂林市,4503,59.31,55.23,68.63,79.21,75.24,,,64.69,,55.88,桂林,year14
2011,梅州市,4414,46.29,35.01,67.72,64.95,45.06,,,77.48,,44.63,梅州,year14
2011,梧州市,4504,50.72,41.42,56.48,71.48,47.99,,,58.35,,70.97,梧州,year14
2011,楚雄彝族自治州,5323,37.22,20.34,42.96,47.45,66.61,,,32.58,,82.52,楚雄彝族,year14
2011,榆林市,6108,46.1,53.75,26.2,46.64,30.42,,,22.15,,57.02,榆林,year14
2011,武威市,6206,31.32,15.16,40.6,6.25,7.18,,,58.38,,67.85,武威,year14
2011,武汉市,4201,76.19,94.03,69.45,87.25,63.9,,,69.78,,29.55,武汉,year14
2011,毕节市,5205,22.54,1.86,30.44,42.73,45.89,,,22.61,,76.46,毕节,year14
2011,永州市,4311,33.21,19.89,59.77,59.04,48.64,,,64.5,,28.95,永州,year14
2011,汉中市,6107,48.81,48.5,40.26,45.88,48.4,,,36.24,,65.32,汉中,year14
2011,汕头市,4405,67.96,58.93,83.81,89.7,68.6,,,89.49,,68.96,汕头,year14
2011,汕尾市,4415,48.85,27.98,68.38,67.86,37.98,,,81.12,,82.29,汕尾,year14
2011,江门市,4407,69.56,68.66,72.08,67.93,68.24,,,74.14,,67.93,江门,year14
2011,池州市,3417,51.82,44.88,60.14,53.0,42.96,,,68.11,,59.59,池州,year14
2011,沈阳市,2101,71.56,87.12,63.43,76.46,45.97,,,69.25,,34.94,沈阳,year14
2011,沧州市,1309,45.45,35.15,51.29,35.13,41.22,,,57.3,,68.84,沧州,year14
2011,河池市,4512,27.98,26.2,22.03,44.71,22.96,,,19.1,,44.67,河池,year14
2011,河源市,4416,46.3,35.33,56.11,55.71,44.24,,,61.1,,64.74,河源,year14
2011,泉州市,3505,70.6,74.78,73.55,91.04,40.53,,,85.38,,51.45,泉州,year14
2011,泰安市,3709,45.66,41.49,48.05,37.64,6.92,,,66.37,,55.11,泰安,year14
2011,泰州市,3212,65.62,71.39,79.77,85.06,73.56,,,81.77,,20.85,泰州,year14
2011,泸州市,5105,46.31,36.02,66.39,68.29,73.97,,,63.01,,43.79,泸州,year14
2011,洛阳市,4103,56.86,57.11,54.97,76.09,35.15,,,60.88,,59.47,洛阳,year14
2011,济南市,3701,70.47,86.42,58.33,78.64,16.73,,,73.41,,39.88,济南,year14
2011,济宁市,3708,44.57,44.06,46.84,52.2,26.34,,,54.79,,42.11,济宁,year14
2011,海东市,6302,28.98,6.75,30.29,43.43,21.9,,,32.33,,100.0,海东,year14
2011,海北藏族自治州,6322,11.3,2.4,6.89,0.0,8.74,,,36.74,,48.72,海北藏族,year14
2011,海南藏族自治州,6325,24.95,3.55,26.74,0.0,9.97,,,,,92.35,海南藏族,year14
2011,海口市,4601,77.12,92.22,66.81,74.91,64.53,,,66.86,,46.01,海口,year14
2011,海西蒙古族藏族自治州,6328,45.71,50.27,14.69,1.63,23.66,,,,,87.04,海西蒙古族藏族,year14
2011,淄博市,3703,59.58,67.17,57.76,47.82,32.45,,,69.43,,37.83,淄博,year14
2011,淮北市,3406,47.48,43.57,41.4,43.6,20.97,,,49.67,,71.49,淮北,year14
2011,淮南市,3404,50.92,54.12,53.4,58.16,73.41,,,44.52,,35.85,淮南,year14
2011,淮安市,3208,59.14,55.97,76.54,75.38,52.81,,,86.57,,37.99,淮安,year14
2011,深圳市,4403,84.39,92.03,85.48,80.45,65.36,,,94.44,,57.19,深圳,year14
2011,清远市,4418,53.98,40.62,68.8,54.87,61.53,,,73.39,,71.13,清远,year14
2011,温州市,3303,81.83,94.06,88.92,100.0,96.78,,,84.39,,28.56,温州,year14
2011,渭南市,6105,37.49,32.82,24.61,19.96,16.29,,,28.6,,76.31,渭南,year14
2011,湖州市,3305,77.79,86.82,91.89,91.8,97.64,,,89.5,,22.35,湖州,year14
2011,湘潭市,4303,56.63,53.07,66.91,58.25,79.53,,,62.61,,49.74,湘潭,year14
2011,湘西土家族苗族自治州,4331,39.38,29.13,47.21,41.75,28.79,,,55.51,,59.01,湘西土家族苗族,year14
2011,湛江市,4408,47.52,27.86,64.06,66.52,53.17,,,68.33,,82.36,湛江,year14
2011,滁州市,3411,45.43,44.26,58.73,58.32,49.41,,,62.66,,25.12,滁州,year14
2011,滨州市,3716,50.95,48.36,47.05,34.51,19.26,,,60.05,,66.58,滨州,year14
2011,漯河市,4111,42.56,35.16,48.6,69.89,15.59,,,59.99,,56.01,漯河,year14
2011,漳州市,3506,58.47,55.63,69.34,83.71,51.87,,,75.03,,48.1,漳州,year14
2011,潍坊市,3707,55.52,54.19,59.7,47.6,25.5,,,75.32,,52.32,潍坊,year14
2011,潮州市,4451,60.07,45.45,79.05,75.73,66.59,,,84.62,,73.83,潮州,year14
2011,濮阳市,4109,40.79,35.57,48.06,40.08,24.17,,,58.92,,44.81,濮阳,year14
2011,烟台市,3706,65.48,72.55,63.53,75.81,55.0,,,65.72,,45.67,烟台,year14
2011,焦作市,4108,53.29,53.34,45.13,30.88,9.03,,,61.79,,67.95,焦作,year14
2011,牡丹江市,2310,46.62,48.75,46.52,49.66,66.3,,,37.91,,39.78,牡丹江,year14
2011,玉林市,4509,38.56,23.41,51.81,50.74,16.58,,,66.63,,64.49,玉林,year14
2011,玉树藏族自治州,6327,28.23,0.9,57.63,0.0,73.09,,,,,65.02,玉树藏族,year14
2011,玉溪市,5304,52.21,46.16,44.74,50.69,75.78,,,31.12,,85.8,玉溪,year14
2011,珠海市,4404,78.28,89.53,70.74,70.66,81.43,,,66.29,,54.82,珠海,year14
2011,甘南藏族自治州,6230,17.84,7.17,29.69,0.0,4.87,,,43.37,,31.53,甘南藏族,year14
2011,甘孜藏族自治州,5133,33.65,15.2,56.67,16.05,44.27,,,66.39,,52.72,甘孜藏族,year14
2011,白城市,2208,38.54,31.62,33.81,28.0,45.63,,,29.52,,70.0,白城,year14
2011,白山市,2206,54.59,56.3,46.54,40.25,41.8,,,49.22,,63.57,白山,year14
2011,白银市,6204,40.33,30.54,32.43,12.81,26.94,,,36.92,,87.01,白银,year14
2011,百色市,4510,43.97,31.09,41.85,46.67,37.29,,,43.21,,90.38,百色,year14
2011,益阳市,4309,38.37,22.94,66.12,58.06,56.49,,,71.04,,38.91,益阳,year14
2011,盐城市,3209,59.16,58.04,77.74,81.55,65.71,,,82.33,,29.08,盐城,year14
2011,盘锦市,2111,68.49,77.18,49.09,68.2,88.09,,,30.68,,75.05,盘锦,year14
2011,眉山市,5114,42.09,34.79,64.66,68.4,68.06,,,62.82,,25.16,眉山,year14
2011,石嘴山市,6402,41.89,56.25,34.94,33.19,68.95,,,20.95,,7.09,石嘴山,year14
2011,石家庄市,1301,59.25,61.68,59.56,50.54,32.69,,,71.77,,50.66,石家庄,year14
2011,福州市,3501,77.62,93.46,69.58,91.37,63.93,,,69.5,,39.9,福州,year14
